Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789543870,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789543871,3,POST,POST /api/v1/upload,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543871,3,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543872,3,POST,POST /api/v1/upload,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543872,3,,Aggregated,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543873,3,POST,POST /api/v1/upload,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543873,3,,Aggregated,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543874,3,POST,POST /api/v1/upload,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543874,3,,Aggregated,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543875,3,POST,POST /api/v1/upload,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543875,3,,Aggregated,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543876,3,POST,POST /api/v1/upload,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
1789543876,3,,Aggregated,0.000000,0.000000,45,45,52,52,52,52,52,52,52,52,52,3,0,45,42.98611666672514,31.669866000811453,52.30607500016049,93.0
