Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789542774,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789542775,3,POST,POST /api/v1/upload,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542775,3,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542776,3,POST,POST /api/v1/upload,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542776,3,,Aggregated,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542777,3,POST,POST /api/v1/upload,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542777,3,,Aggregated,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542778,3,POST,POST /api/v1/upload,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542778,3,,Aggregated,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542779,3,POST,POST /api/v1/upload,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542779,3,,Aggregated,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542780,3,POST,POST /api/v1/upload,1.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,3,0,120,126.95752066611021,119.72458099990035,141.40238399886584,93.0
1789542780,3,WS,result wait (error),0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,4929.02900000081,4929.02900000081,4929.02900000081,4929.02900000081,128.0
1789542780,3,,Aggregated,1.000000,0.000000,140,140,4900,4900,4900,4900,4900,4900,4900,4900,4900,4,1,120,1327.4753904997851,119.72458099990035,4929.02900000081,101.75
1789542781,3,POST,POST /api/v1/upload,0.600000,0.000000,120,120,140,140,140,140,140,140,140,140,140,4,0,120,99.10479624977597,15.546623000773252,141.40238399886584,93.0
1789542781,3,WS,result wait (error),0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,1,4929.02900000081,4929.02900000081,4929.02900000081,4929.02900000081,128.0
1789542781,3,,Aggregated,0.600000,0.000000,120,140,140,4900,4900,4900,4900,4900,4900,4900,4900,5,1,120,1065.0896369999828,15.546623000773252,4929.02900000081,100.0
1789542782,3,POST,POST /api/v1/upload,0.600000,0.000000,120,120,140,140,140,140,140,140,140,140,140,4,0,120,99.10479624977597,15.546623000773252,141.40238399886584,93.0
1789542782,3,WS,result wait (error),0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,1,4929.02900000081,4929.02900000081,4929.02900000081,4929.02900000081,128.0
1789542782,3,,Aggregated,0.600000,0.000000,120,140,140,4900,4900,4900,4900,4900,4900,4900,4900,5,1,120,1065.0896369999828,15.546623000773252,4929.02900000081,100.0
1789542783,3,POST,POST /api/v1/upload,0.600000,0.000000,120,120,140,140,140,140,140,140,140,140,140,4,0,120,99.10479624977597,15.546623000773252,141.40238399886584,93.0
1789542783,3,WS,result wait (error),0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,1,4929.02900000081,4929.02900000081,4929.02900000081,4929.02900000081,128.0
1789542783,3,,Aggregated,0.600000,0.000000,120,140,140,4900,4900,4900,4900,4900,4900,4900,4900,5,1,120,1065.0896369999828,15.546623000773252,4929.02900000081,100.0
